campaign_id,campaign_name,channel,platform,region,spend,revenue,roas,campaign_roi_pct,cac,conversion_rate,lead_to_customer_rate,budget_pacing_pct,target_attainment_pct,attribution_coverage_pct,data_quality_flag,recommended_action,action_priority,action_reason
CMP-000039,Holiday Promo EMEA FY25 Social,paid_social,facebook_tiktok_ads,multi_region,52790.39,13475.0,0.2552547916391601,-0.7447452083608399,0.0,0.0043073136427566805,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000077,Regional Expansion EMEA FY25 Social,paid_social,facebook_tiktok_ads,multi_region,36252.24,8800.0,0.2427436208079832,-0.7572563791920168,0.0,0.0030137502354492373,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000047,Competitor SEM EMEA FY25 Social,paid_social,facebook_tiktok_ads,multi_region,31467.69,1925.0,0.061173858011185446,-0.9388261419888145,0.0,0.0010230926629640456,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000030,LIFECYCLE WINBACK NA Q4 SOCIAL,paid_social,facebook_tiktok_ads,multi_region,28589.51,11825.0,0.41361324485799167,-0.5863867551420083,0.0,0.008309178743961353,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000076,product_launch_global_q4_social,paid_social,facebook_tiktok_ads,multi_region,27849.9,1100.0,0.03949744882387369,-0.9605025511761263,0.0,0.0005343307507347048,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000071,Lifecycle Winback Global 2025 Social,paid_social,facebook_tiktok_ads,multi_region,27621.86,19800.0,0.716823559311357,-0.283176440688643,0.0,0.006470165348670022,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000068,Lifecycle Winback APAC 2025 Social,paid_social,facebook_tiktok_ads,multi_region,26709.32,15125.0,0.5662817323690756,-0.4337182676309243,0.0,0.01220865704772475,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000050,Enterprise ABM NA 2025 Social,paid_social,facebook_tiktok_ads,multi_region,24232.29,7975.0,0.32910632878692025,-0.6708936712130797,0.0,0.007369758576874206,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000008,Competitor Search EMEA Q4 Social,paid_social,facebook_tiktok_ads,multi_region,24131.23,6325.0,0.262108479343987,-0.7378915206560129,0.0,0.0035620257085333747,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000053,Enterprise ABM Global 2024 Social,paid_social,facebook_tiktok_ads,multi_region,23119.879999999997,18700.0,0.8088277274795544,-0.19117227252044552,0.0,0.0058828618392594515,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000038,Retargeting US FY25 Social,paid_social,facebook_tiktok_ads,multi_region,21910.67,0.0,0.0,-1.0,0.0,0.0,0.0,52.47276681599371,0.0,0.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000041,creator_spark_emea_2025_social,paid_social,facebook_tiktok_ads,multi_region,21224.21,15400.0,0.7255864882603404,-0.27441351173965955,0.0,0.00041467351865290345,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000069,Lifecycle Winback EMEA FY25 Social,paid_social,facebook_tiktok_ads,multi_region,21034.48,3025.0,0.1438114942703599,-0.8561885057296401,0.0,0.0028909329829172143,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000073,Cart Recovery US 2025 Social,paid_social,facebook_tiktok_ads,multi_region,19152.4,14575.0,0.7610012322215493,-0.2389987677784508,0.0,0.013845350052246604,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000008,creator_spark_na_2025_social,paid_social,facebook_tiktok_ads,multi_region,18171.29,9900.0,0.5448154754010309,-0.4551845245989691,0.0,0.008518693800283956,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000035,Brand Search NA Q4 Social,paid_social,facebook_tiktok_ads,multi_region,18040.92,2475.0,0.13718812566099733,-0.8628118743390026,0.0,0.005428226779252111,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000021,COMPETITOR SEARCH EMEA 2025 SOCIAL,paid_social,facebook_tiktok_ads,multi_region,17892.54,12100.0,0.6762594913857954,-0.3237405086142046,0.0,0.00751237835069148,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000036,Creator Spark APAC FY25 Social,paid_social,facebook_tiktok_ads,multi_region,16434.05,14850.0,0.9036117086171699,-0.09638829138283012,0.0,0.005988688033714096,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000058,enterprise_abm_apac_q4_social,paid_social,facebook_tiktok_ads,multi_region,15736.14,4125.0,0.2621354410929237,-0.7378645589070764,0.0,0.0023101801940551363,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000062,Cart Recovery APAC 2024 Social,paid_social,facebook_tiktok_ads,multi_region,15274.8,4125.0,0.27005263571372456,-0.7299473642862754,0.0,0.0016380910778639292,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000061,Competitor Search Global FY25 Social,paid_social,facebook_tiktok_ads,multi_region,15215.66,6050.0,0.3976166659875418,-0.6023833340124582,0.0,0.00352,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000071,cart_recovery_global_fy25_social,paid_social,facebook_tiktok_ads,multi_region,14972.94,10450.0,0.6979257246739785,-0.3020742753260215,0.0,0.0067555555555555554,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
