requirement_id,business_requirement,kpi,data_source,transformation,dbt_model,test,power_bi_visual,acceptance_criteria
BR-001,Identify strongest channels,ROAS and CAC,Paid media CRM sales,int_campaign_daily and customer journey,mart_channel_performance,assert_reporting_kpis_non_negative,Executive channel scorecard,Warehouse and visual totals reconcile
BR-002,Identify campaigns suitable for scaling,Campaign ROAS and target ROAS,Paid media targets,Target-aware transparent action rules,mart_campaign_action_center,assert_campaign_action_center_grain,Campaign action table,SCALE only triggers above configured multiplier
BR-003,Identify campaigns to reduce or repair,ROAS CAC conversions and data status,Paid media targets quality logs,Priority and hold rules,mart_campaign_action_center,accepted_values_mart_campaign_action_center_recommended_action,Campaign attention queue,Every action includes reason and metric to monitor
BR-004,Explain ROAS change,ROAS spend revenue conversions AOV,Paid media sales,Current versus lagged period diagnostics,mart_marketing_variance_drivers,accepted_values_mart_marketing_variance_drivers_severity,Variance driver waterfall,Absolute and percentage variance reconcile
BR-005,Explain CAC change,CAC spend conversions,Paid media CRM sales,Current versus lagged period diagnostics,mart_marketing_variance_drivers,assert_reporting_kpis_non_negative,CAC variance visual,CAC formula uses governed conversion grain
BR-006,Locate funnel drop-off,Sessions events leads conversions,GA4-style CRM sales,Event and session funnel rollups,mart_ga4_funnel,assert_ga4_funnel_relationships,GA4 funnel,Event counts and purchase revenue reconcile to staging
BR-007,Show target misses,Attainment and variance,Targets paid media CRM sales,Monthly target-to-actual join,mart_target_vs_actual,assert_target_attainment_validity,Target attainment matrix,Attainment uses governed targets and handles zero denominators
BR-008,Explain attribution disagreement,Attributed revenue and weights,GA4-style CRM sales touchpoints,Multi-model attribution,int_attribution_touchpoints and mart_attribution_model_comparison,assert_attribution_revenue_reconciles_by_model,Attribution comparison,Allocated revenue reconciles by model
BR-009,Identify stale or unreliable sources,Freshness rejected rows failures retries,Ingestion and validation metadata,Source health aggregation,mart_data_quality_monitoring,Python contract and validator tests,Source health page,Critical failures block release and warnings remain visible
BR-010,Prioritize leadership actions,Priority action reason supporting metric,Campaign variance targets quality,Deterministic recommendation rules,mart_campaign_action_center,Python recommendation and dbt grain tests,Executive action center,Priority ordering is transparent and quality-aware
