campaign_id,campaign_name,channel,platform,region,spend,revenue,roas,campaign_roi_pct,cac,conversion_rate,lead_to_customer_rate,budget_pacing_pct,target_attainment_pct,attribution_coverage_pct,data_quality_flag,recommended_action,action_priority,action_reason
CMP-000039,Holiday Promo EMEA FY25 Social,paid_social,facebook_tiktok_ads,multi_region,52790.39,13475.0,0.2552547916391601,-0.7447452083608399,0.0,0.0043073136427566,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000077,Regional Expansion EMEA FY25 Social,paid_social,facebook_tiktok_ads,multi_region,36252.24,8800.0,0.2427436208079832,-0.7572563791920168,0.0,0.0030137502354492,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000047,Competitor SEM EMEA FY25 Social,paid_social,facebook_tiktok_ads,multi_region,31467.69,1925.0,0.0611738580111854,-0.9388261419888144,0.0,0.001023092662964,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000030,LIFECYCLE WINBACK NA Q4 SOCIAL,paid_social,facebook_tiktok_ads,multi_region,28589.51,11825.0,0.4136132448579916,-0.5863867551420083,0.0,0.0083091787439613,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000076,product_launch_global_q4_social,paid_social,facebook_tiktok_ads,multi_region,27849.9,1100.0,0.0394974488238736,-0.9605025511761264,0.0,0.0005343307507347,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000071,Lifecycle Winback Global 2025 Social,paid_social,facebook_tiktok_ads,multi_region,27621.86,19800.0,0.716823559311357,-0.283176440688643,0.0,0.00647016534867,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000068,Lifecycle Winback APAC 2025 Social,paid_social,facebook_tiktok_ads,multi_region,26709.32,15125.0,0.5662817323690756,-0.4337182676309243,0.0,0.0122086570477247,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000050,Enterprise ABM NA 2025 Social,paid_social,facebook_tiktok_ads,multi_region,24232.29,7975.0,0.3291063287869202,-0.6708936712130797,0.0,0.0073697585768742,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000008,Competitor Search EMEA Q4 Social,paid_social,facebook_tiktok_ads,multi_region,24131.23,6325.0,0.262108479343987,-0.7378915206560129,0.0,0.0035620257085333,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000053,Enterprise ABM Global 2024 Social,paid_social,facebook_tiktok_ads,multi_region,23119.879999999997,18700.0,0.8088277274795544,-0.1911722725204455,0.0,0.0058828618392594,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000038,Retargeting US FY25 Social,paid_social,facebook_tiktok_ads,multi_region,21910.67,0.0,0.0,-1.0,0.0,0.0,0.0,52.47276681599371,0.0,0.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
CMP-000041,creator_spark_emea_2025_social,paid_social,facebook_tiktok_ads,multi_region,21224.21,15400.0,0.7255864882603404,-0.2744135117396595,0.0,0.0004146735186529,0.0,52.47276681599371,0.0,1.0,healthy,Pause,P0,High spend combines with weak ROAS and conversion rate.
