action_id,priority,action_type,owner_team,source_area,normalized_channel,title,recommended_action,business_impact,evidence_metric,due_in_days,action_value,status,created_at
ACT-0001,P0,anomaly_investigation,analytics_engineering,anomaly_center,unknown,Investigate aov anomaly,"Review aov against campaign mix, funnel, target, and source-quality evidence.",Potential dashboard variance or material business shift.,"z-score 77.44, change 8.9%.",1,77.52979224904344,open,2026-08-22T22:35:21.496327+00:00
ACT-0002,P0,anomaly_investigation,analytics_engineering,anomaly_center,unknown,Investigate aov anomaly,"Review aov against campaign mix, funnel, target, and source-quality evidence.",Potential dashboard variance or material business shift.,"z-score 61.94, change 6.2%.",1,62.00207796175963,open,2026-08-22T22:35:21.496327+00:00
ACT-0003,P0,anomaly_investigation,analytics_engineering,anomaly_center,unknown,Investigate closed_won_conversions anomaly,"Review closed won conversions against campaign mix, funnel, target, and source-quality evidence.",Potential dashboard variance or material business shift.,"z-score -13.22, change -51.3%.",1,13.7332890052356,open,2026-08-22T22:35:21.496327+00:00
ACT-0004,P0,anomaly_investigation,analytics_engineering,anomaly_center,unknown,Investigate booked_revenue anomaly,"Review booked revenue against campaign mix, funnel, target, and source-quality evidence.",Potential dashboard variance or material business shift.,"z-score -8.85, change -47.0%.",1,9.315384459042248,open,2026-08-22T22:35:21.496327+00:00
ACT-0005,P0,anomaly_investigation,analytics_engineering,anomaly_center,unknown,Investigate leads anomaly,"Review leads against campaign mix, funnel, target, and source-quality evidence.",Potential dashboard variance or material business shift.,"z-score 0.00, change -100.0%.",1,1.0,open,2026-08-22T22:35:21.496327+00:00
ACT-0006,P1,anomaly_investigation,analytics_engineering,anomaly_center,unknown,Investigate booked_revenue anomaly,"Review booked revenue against campaign mix, funnel, target, and source-quality evidence.",Potential dashboard variance or material business shift.,"z-score 0.00, change 63.6%.",3,0.6355489956963039,open,2026-08-22T22:35:21.496327+00:00
ACT-0007,P1,anomaly_investigation,analytics_engineering,anomaly_center,unknown,Investigate closed_won_conversions anomaly,"Review closed won conversions against campaign mix, funnel, target, and source-quality evidence.",Potential dashboard variance or material business shift.,"z-score 0.00, change 63.3%.",3,0.6333333333333333,open,2026-08-22T22:35:21.496327+00:00
ACT-0008,P1,budget_pacing,growth_finance,target_vs_actual,direct,Resolve direct pacing risk,Review budget owner growth and rebalance plan.,"Revenue gap $7,882,826.",Revenue attainment 0.0%.,5,7882826.29,open,2026-08-22T22:35:21.496327+00:00
ACT-0009,P1,budget_pacing,growth_finance,target_vs_actual,email,Resolve email pacing risk,Review budget owner finance and rebalance plan.,"Revenue gap $7,518,139.",Revenue attainment 0.0%.,5,7518139.47,open,2026-08-22T22:35:21.496327+00:00
ACT-0010,P1,budget_pacing,growth_finance,target_vs_actual,organic,Resolve organic pacing risk,Review budget owner finance and rebalance plan.,"Revenue gap $6,153,730.",Revenue attainment 0.0%.,5,6153729.74,open,2026-08-22T22:35:21.496327+00:00
