asset_name,layer,asset_type,description,owner_team,data_steward,classification,pii_level,sensitive_fields,primary_key,refresh_cadence,allowed_roles,masked_roles,masking_policy,retention_policy
raw.crm_leads,raw,source_table,"CRM lead records with lead source, assigned rep, qualification stage, region, customer identifier, and attribution ID.",sales_operations,revenue_operations,confidential,direct_identifier,"lead_id, customer_id, assigned_rep, attribution_id",lead_id,daily,"data_engineer, analytics_engineer, sales_operations","bi_developer, marketing_leadership",Hash lead_id and customer_id; hide assigned_rep outside sales operations.,raw_customer_touchpoint_730_days
raw.sales_conversions,raw,source_table,"Closed-won sales conversions with deal value, gross margin, product, conversion date, customer ID, and lead ID.",revenue_operations,growth_finance,restricted,direct_identifier,"conversion_id, lead_id, customer_id, deal_value, gross_margin",conversion_id,daily,"data_engineer, analytics_engineer, revenue_operations, growth_finance","bi_developer, marketing_leadership",Expose aggregated revenue and margin in marts; restrict row-level customer IDs.,revenue_fact_1095_days
raw.website_analytics,raw,source_table,"Session-level web analytics with device, geography, traffic source, UTM campaign ID, and bounce behavior.",growth_marketing,analytics_engineering,confidential,pseudonymous,"session_id, utm_campaign_id",session_id,daily,"data_engineer, analytics_engineer, bi_developer",marketing_leadership,Aggregate session-level records before executive reporting.,web_event_730_days
warehouse.dim_customer,warehouse,dimension,Customer and lead identity dimension prepared for LTV and segmentation.,analytics_engineering,revenue_operations,restricted,direct_identifier,"customer_id, lead_id",customer_key,daily,"data_engineer, analytics_engineer, revenue_operations","bi_developer, marketing_leadership, external_auditor",Use surrogate keys in BI exports; suppress natural IDs for broad audiences.,customer_dimension_1095_days
warehouse.fact_revenue,warehouse,fact,"Revenue and margin fact table used for executive KPIs, customer value, and attribution reconciliation.",growth_finance,revenue_operations,restricted,commercially_sensitive,"deal_value, gross_margin, customer_key",conversion_key,daily,"data_engineer, analytics_engineer, growth_finance, revenue_operations","bi_developer, marketing_leadership",Use aggregated revenue and margin in marts; hide row-level deal values from broad dashboard roles.,revenue_fact_1095_days
mart_channel_performance,mart,reporting_mart,"Channel-level executive mart for spend, revenue, gross margin, ROAS, CAC, and lead funnel KPIs.",revenue_operations,analytics_engineering,internal,aggregated,"booked_revenue, gross_margin","reporting_month, normalized_channel",daily,"bi_developer, marketing_leadership, growth_finance, analytics_engineer",external_auditor,Suppress low-volume slices if exported externally.,aggregate_mart_1825_days
mart_customer_value,mart,reporting_mart,Customer LTV and margin mart used for customer segment analysis.,revenue_operations,analytics_engineering,confidential,pseudonymous,"customer_id, lifetime_revenue, lifetime_margin",customer_id,daily,"analytics_engineer, revenue_operations, growth_finance","bi_developer, marketing_leadership",Expose segment rollups in executive dashboards; restrict customer-level exports.,customer_value_1095_days
mart_action_center,mart,operational_mart,"Owned action queue for campaign optimization, source reliability, data quality, planning, and anomaly work.",marketing_operations,data_product_owner,internal,none,"business_impact, evidence_metric",action_id,daily,"data_engineer, analytics_engineer, bi_developer, marketing_leadership, growth_finance",external_auditor,Remove owner-team names and business-impact values for external sharing.,operational_action_365_days
mart_semantic_kpi_governance,semantic,governance_mart,"Certified KPI definitions with formulas, owners, guardrails, source marts, dashboard pages, and dependencies.",bi_development,revenue_operations,internal,none,none,kpi_name,on release,all_internal_roles,none,No masking required.,governance_reference_indefinite
mart_data_product_scorecard,semantic,governance_mart,"Operating scorecard for source reliability, quality, attribution, action management, planning, and executive confidence.",data_product_owner,analytics_engineering,internal,none,"evidence, next_action",scorecard_domain,daily,all_internal_roles,external_auditor,Share domain-level status externally; remove operational evidence text.,governance_scorecard_730_days
